label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
still,unkown,sedentary,sedentary,unkown,unkown,still
jumping jacks,upright,others,others,unkown,jumping jacks,jumping jacks
sitting,sitting,sedentary,sedentary,unkown,sitting still,free
sitting-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
reclining,sitting,unkown,unkown,unkown,reclining,free
reclining-telling story,sitting,unkown,unkown,unkown,reclining and talking,talking
standing,upright,sedentary,sedentary,unkown,standing naturally,free
standing-telling story,upright,sedentary,sedentary,unkown,standing and talking,talking
arms on desk-standing,upright,sedentary,sedentary,indoor,standing with arms on desk,arms on desk
arms on desk-standing-web browsing,upright,sedentary,sedentary,indoor,standing and web browsing with arms on desk,arms on desk
walking,upright,ambulation,ambulation,unkown,self-paced walking,free
down-elevator-standing,upright,sedentary,sedentary,indoor,standing and elevator down,free
elevator-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator,free
telling story-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking,talking
standing-stop light-telling story,upright,sedentary,sedentary,outdoor,standing and talking,talking
stop light-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
outdoor-standing,upright,sedentary,sedentary,outdoor,standing naturally,free
outdoors-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
mbta-outdoors-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
down-mbta-stairs-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
mbta-standing,upright,sedentary,sedentary,indoor,standing naturally,free
mbta-outdoors-standing,upright,sedentary,sedentary,indoor,standing naturally,free
outdoors-standing,upright,sedentary,sedentary,outdoor,standing naturally,free
outdoors-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
biking,sitting,cycling,cycling,unkown,biking,biking
biking-outdoors,sitting,cycling,cycling,outdoor,biking outdoor,biking
outdoors-texting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting,using phone
vending machine-walking,upright,ambulation,ambulation,unkown,self-paced walking and using vending machine,using vending machine
standing-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
frisbee,upright,others,others,unkown,frisbee,frisbee
stairs-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
phone talking-stairs-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking and using phone,holding cellphone
drink-standing,upright,sedentary,sedentary,unkown,standing naturally,carrying a drink
bag-standing,upright,sedentary,sedentary,unkown,standing with bag,free
bag-stairs-standing,upright,ambulation,ambulation,indoor,standing and escalator with bag,free
bag-down-stairs-standing,upright,ambulation,ambulation,indoor,walking down stairs and standing with bag,free
bag-down-stairs-walking,upright,ambulation,ambulation,indoor,walking down stairs with bag,free
bag-outdoors-walking,upright,ambulation,ambulation,outdoor,self-paced walking with bag,free
escalator-standing-up,upright,sedentary,sedentary,indoor,standing and escalator up,free
bag-escalator-standing-up,upright,sedentary,sedentary,indoor,standing and escalator up with bag,free
bag-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
down-stairs-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
bag-outdoors-telling story-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking with bag,talking
bag-outdoors-telling story,unkown,unkown,unkown,outdoor,talking with bag,talking
