HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2015-10-08 14:11:25.000,2015-10-08 14:10:41.000,2015-10-08 14:11:25.000,Still
2015-10-08 14:11:42.000,2015-10-08 14:11:32.000,2015-10-08 14:11:42.000,Still
2015-10-08 14:11:51.000,2015-10-08 14:11:42.000,2015-10-08 14:11:51.000,Jumping Jacks
2015-10-08 14:12:16.000,2015-10-08 14:11:51.000,2015-10-08 14:12:16.000,Still
2015-10-08 14:12:31.000,2015-10-08 14:12:16.000,2015-10-08 14:12:31.000,Jumping Jacks
2015-10-08 14:12:48.000,2015-10-08 14:12:31.000,2015-10-08 14:12:48.000,Still
2015-10-08 14:13:00.000,2015-10-08 14:12:48.000,2015-10-08 14:13:00.000,Jumping Jacks
2015-10-08 14:13:12.000,2015-10-08 14:13:00.000,2015-10-08 14:13:12.000,Still
2015-10-08 14:13:23.000,2015-10-08 14:13:12.000,2015-10-08 14:13:23.000,Jumping Jacks
2015-10-08 14:13:29.000,2015-10-08 14:13:23.000,2015-10-08 14:13:29.000,Still
2015-10-08 14:14:28.000,2015-10-08 14:14:21.000,2015-10-08 14:14:28.000,Sitting
2015-10-08 14:14:29.000,2015-10-08 14:14:28.000,2015-10-08 14:14:29.000,supported
2015-10-08 14:14:29.000,2015-10-08 14:14:28.000,2015-10-08 14:14:29.000,Sitting
2015-10-08 14:14:31.000,2015-10-08 14:14:29.000,2015-10-08 14:14:31.000,Sitting
2015-10-08 14:14:31.000,2015-10-08 14:14:29.000,2015-10-08 14:14:31.000,Dominant Hand
2015-10-08 14:14:44.000,2015-10-08 14:14:31.000,2015-10-08 14:14:44.000,Sitting
2015-10-08 14:14:44.000,2015-10-08 14:14:31.000,2015-10-08 14:14:44.000,Dominant Hand
2015-10-08 14:14:44.000,2015-10-08 14:14:31.000,2015-10-08 14:14:44.000,Writing
2015-10-08 14:15:56.000,2015-10-08 14:14:44.000,2015-10-08 14:15:56.000,Sitting
2015-10-08 14:15:56.000,2015-10-08 14:14:44.000,2015-10-08 14:15:56.000,Dominant Hand
2015-10-08 14:15:56.000,2015-10-08 14:14:44.000,2015-10-08 14:15:56.000,Writing
2015-10-08 14:15:56.000,2015-10-08 14:14:44.000,2015-10-08 14:15:56.000,Arms On Desk
2015-10-08 14:16:20.000,2015-10-08 14:16:13.000,2015-10-08 14:16:20.000,Reclining
2015-10-08 14:17:25.000,2015-10-08 14:16:20.000,2015-10-08 14:17:25.000,Reclining
2015-10-08 14:17:25.000,2015-10-08 14:16:20.000,2015-10-08 14:17:25.000,Telling Story
2015-10-08 14:17:33.000,2015-10-08 14:17:27.000,2015-10-08 14:17:33.000,Standing
2015-10-08 14:17:38.000,2015-10-08 14:17:33.000,2015-10-08 14:17:38.000,Standing
2015-10-08 14:17:38.000,2015-10-08 14:17:33.000,2015-10-08 14:17:38.000,Telling Story
2015-10-08 14:18:50.000,2015-10-08 14:17:38.000,2015-10-08 14:18:50.000,Standing
2015-10-08 14:18:50.000,2015-10-08 14:17:38.000,2015-10-08 14:18:50.000,Telling Story
2015-10-08 14:18:50.000,2015-10-08 14:17:38.000,2015-10-08 14:18:50.000,Upper Body Movement
