HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-08 15:00:01.450,2015-10-08 15:00:01.448,,24,NO
2015-10-08 15:01:00.500,2015-10-08 15:01:00.497,,24,NO
2015-10-08 15:02:01.485,2015-10-08 15:02:01.483,,24,NO
2015-10-08 15:03:00.493,2015-10-08 15:03:00.484,,24,NO
2015-10-08 15:04:01.472,2015-10-08 15:04:01.459,,24,NO
2015-10-08 15:05:01.464,2015-10-08 15:05:01.463,,24,NO
2015-10-08 15:06:01.456,2015-10-08 15:06:01.454,,24,NO
2015-10-08 15:07:01.477,2015-10-08 15:07:01.465,,24,NO
2015-10-08 15:09:01.521,2015-10-08 15:09:01.494,,23,NO
2015-10-08 15:10:01.459,2015-10-08 15:10:01.457,,23,NO
2015-10-08 15:11:01.476,2015-10-08 15:11:01.466,,23,NO
2015-10-08 15:12:01.445,2015-10-08 15:12:01.444,,23,NO
2015-10-08 15:13:01.456,2015-10-08 15:13:01.454,,23,NO
2015-10-08 15:14:01.514,2015-10-08 15:14:01.512,,23,NO
2015-10-08 15:15:01.477,2015-10-08 15:15:01.474,,23,NO
2015-10-08 15:16:00.502,2015-10-08 15:16:00.500,,23,NO
2015-10-08 15:17:01.455,2015-10-08 15:17:01.431,,23,NO
2015-10-08 15:18:01.499,2015-10-08 15:18:01.489,,23,NO
2015-10-08 15:19:01.472,2015-10-08 15:19:01.463,,23,NO
2015-10-08 15:20:00.458,2015-10-08 15:20:00.456,,23,NO
2015-10-08 15:21:00.392,2015-10-08 15:21:00.383,,23,NO
2015-10-08 15:22:00.478,2015-10-08 15:22:00.477,,23,NO
2015-10-08 15:23:01.442,2015-10-08 15:23:01.439,,23,NO
2015-10-08 15:24:00.448,2015-10-08 15:24:00.447,,23,NO
2015-10-08 15:25:00.344,2015-10-08 15:25:00.342,,23,NO
2015-10-08 15:26:01.497,2015-10-08 15:26:01.496,,23,NO
2015-10-08 15:27:01.474,2015-10-08 15:27:01.472,,23,NO
2015-10-08 15:28:01.479,2015-10-08 15:28:01.466,,23,NO
2015-10-08 15:29:00.523,2015-10-08 15:29:00.514,,23,NO
2015-10-08 15:30:01.488,2015-10-08 15:30:01.486,,23,NO
2015-10-08 15:31:01.483,2015-10-08 15:31:01.471,,23,NO
2015-10-08 15:32:01.469,2015-10-08 15:32:01.463,,23,NO
2015-10-08 15:33:01.512,2015-10-08 15:33:01.495,,23,NO
2015-10-08 15:34:01.484,2015-10-08 15:34:01.482,,23,NO
2015-10-08 15:35:01.472,2015-10-08 15:35:01.471,,23,NO
2015-10-08 15:36:04.708,2015-10-08 15:36:04.698,,22,NO
2015-10-08 15:37:01.482,2015-10-08 15:37:01.480,,22,NO
2015-10-08 15:38:01.474,2015-10-08 15:38:01.473,,22,NO
2015-10-08 15:39:01.472,2015-10-08 15:39:01.466,,22,NO
2015-10-08 15:40:00.422,2015-10-08 15:40:00.421,,22,NO
2015-10-08 15:41:01.544,2015-10-08 15:41:01.541,,22,NO
2015-10-08 15:42:01.504,2015-10-08 15:42:01.493,,22,NO
2015-10-08 15:43:00.488,2015-10-08 15:43:00.487,,22,NO
2015-10-08 15:44:01.498,2015-10-08 15:44:01.496,,22,NO
2015-10-08 15:45:01.470,2015-10-08 15:45:01.462,,22,NO
2015-10-08 15:46:00.501,2015-10-08 15:46:00.498,,22,NO
2015-10-08 15:47:00.520,2015-10-08 15:47:00.498,,22,NO
2015-10-08 15:48:01.613,2015-10-08 15:48:01.599,,22,NO
2015-10-08 15:49:01.479,2015-10-08 15:49:01.454,,22,NO
2015-10-08 15:50:00.498,2015-10-08 15:50:00.488,,22,NO
2015-10-08 15:51:00.523,2015-10-08 15:51:00.521,,22,NO
2015-10-08 15:52:00.537,2015-10-08 15:52:00.536,,22,NO
2015-10-08 15:53:00.814,2015-10-08 15:53:00.803,,22,NO
2015-10-08 15:54:00.855,2015-10-08 15:54:00.845,,22,NO
2015-10-08 15:55:01.488,2015-10-08 15:55:01.486,,22,NO
2015-10-08 15:56:00.570,2015-10-08 15:56:00.568,,22,NO
2015-10-08 15:57:00.598,2015-10-08 15:57:00.596,,22,NO
2015-10-08 15:58:00.593,2015-10-08 15:58:00.592,,22,NO
2015-10-08 15:59:01.487,2015-10-08 15:59:01.478,,22,NO
