HEADER_TIME_STAMP,START_TIME,STOP_TIME,SWITCH_TO_NETWORK,DATA_USAGE_APP,DATA_USAGE_TOTAL
2015-10-16 10:26:48.600,2015-10-16 10:26:48.596,,Mobile,0,3
2015-10-16 10:27:01.555,2015-10-16 10:27:01.549,,Mobile,0,0
2015-10-16 10:27:21.642,2015-10-16 10:27:21.640,,Mobile,0,0
2015-10-16 10:32:49.115,2015-10-16 10:32:49.108,,Mobile,0,0
2015-10-16 10:33:08.122,2015-10-16 10:33:08.119,,Mobile,0,0
2015-10-16 10:33:37.115,2015-10-16 10:33:37.113,,Mobile,0,0
2015-10-16 10:35:51.960,2015-10-16 10:35:51.956,,Mobile,0,1
2015-10-16 10:36:04.910,2015-10-16 10:36:04.903,,Mobile,0,0
2015-10-16 10:36:23.096,2015-10-16 10:36:23.094,,Mobile,0,0
2015-10-16 10:37:24.004,2015-10-16 10:37:24.003,,Mobile,0,0
2015-10-16 10:37:46.204,2015-10-16 10:37:46.190,,Mobile,0,0
2015-10-16 10:37:59.100,2015-10-16 10:37:59.098,,Mobile,0,0
2015-10-16 10:39:25.311,2015-10-16 10:39:25.305,,Mobile,0,0
2015-10-16 10:39:44.013,2015-10-16 10:39:44.008,,Mobile,0,0
2015-10-16 10:40:42.786,2015-10-16 10:40:42.780,,Wifi,0,0
2015-10-16 10:40:48.141,2015-10-16 10:40:48.137,,Wifi,0,0
2015-10-16 10:40:49.885,2015-10-16 10:40:49.867,,Wifi,0,0
2015-10-16 10:40:51.372,2015-10-16 10:40:51.370,,Wifi,0,0
2015-10-16 10:40:59.090,2015-10-16 10:40:59.089,,Wifi,0,0
2015-10-16 10:42:18.863,2015-10-16 10:42:18.859,,Wifi,0,0
2015-10-16 10:42:19.903,2015-10-16 10:42:19.901,,Wifi,0,0
2015-10-16 10:42:21.447,2015-10-16 10:42:21.442,,Wifi,0,0
2015-10-16 10:46:20.040,2015-10-16 10:46:20.038,,Mobile,0,0
2015-10-16 10:46:20.879,2015-10-16 10:46:20.878,,Mobile,0,0
2015-10-16 10:46:21.913,2015-10-16 10:46:21.911,,Mobile,0,0
2015-10-16 10:46:23.775,2015-10-16 10:46:23.774,,Mobile,0,0
2015-10-16 10:46:24.671,2015-10-16 10:46:24.667,,Mobile,0,0
