HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2015-10-16 12:00:00.013,-0.938,0.211,0.18
2015-10-16 12:00:00.025,-0.934,0.211,0.18
2015-10-16 12:00:00.038,-0.93,0.211,0.18
2015-10-16 12:00:00.050,-0.93,0.211,0.176
2015-10-16 12:00:00.063,-0.934,0.211,0.176
2015-10-16 12:00:00.075,-0.934,0.215,0.176
2015-10-16 12:00:00.088,-0.938,0.215,0.176
2015-10-16 12:00:00.100,-0.934,0.211,0.18
2015-10-16 12:00:00.113,-0.938,0.207,0.18
2015-10-16 12:00:00.125,-0.938,0.207,0.18
2015-10-16 12:00:00.138,-0.938,0.207,0.176
2015-10-16 12:00:00.150,-0.934,0.211,0.176
2015-10-16 12:00:00.163,-0.934,0.211,0.172
2015-10-16 12:00:00.175,-0.93,0.211,0.176
2015-10-16 12:00:00.188,-0.926,0.211,0.176
2015-10-16 12:00:00.200,-0.922,0.203,0.176
2015-10-16 12:00:00.213,-0.926,0.199,0.176
2015-10-16 12:00:00.225,-0.926,0.199,0.176
2015-10-16 12:00:00.238,-0.922,0.203,0.176
2015-10-16 12:00:00.250,-0.922,0.199,0.176
2015-10-16 12:00:00.263,-0.926,0.203,0.176
2015-10-16 12:00:00.275,-0.934,0.203,0.176
2015-10-16 12:00:00.288,-0.934,0.203,0.176
2015-10-16 12:00:00.300,-0.934,0.199,0.172
2015-10-16 12:00:00.313,-0.934,0.199,0.176
2015-10-16 12:00:00.325,-0.938,0.203,0.176
2015-10-16 12:00:00.338,-0.941,0.207,0.176
2015-10-16 12:00:00.350,-0.938,0.203,0.176
2015-10-16 12:00:00.363,-0.938,0.199,0.18
2015-10-16 12:00:00.375,-0.938,0.199,0.176
2015-10-16 12:00:00.388,-0.938,0.199,0.176
2015-10-16 12:00:00.400,-0.938,0.203,0.176
2015-10-16 12:00:00.413,-0.938,0.199,0.18
2015-10-16 12:00:00.425,-0.934,0.191,0.184
2015-10-16 12:00:00.438,-0.934,0.199,0.18
2015-10-16 12:00:00.450,-0.934,0.199,0.18
2015-10-16 12:00:00.463,-0.934,0.195,0.18
2015-10-16 12:00:00.475,-0.93,0.191,0.18
2015-10-16 12:00:00.488,-0.93,0.188,0.184
2015-10-16 12:00:00.500,-0.934,0.188,0.184
2015-10-16 12:00:00.513,-0.938,0.188,0.18
2015-10-16 12:00:00.525,-0.934,0.188,0.18
2015-10-16 12:00:00.538,-0.934,0.188,0.184
2015-10-16 12:00:00.550,-0.934,0.188,0.195
2015-10-16 12:00:00.563,-0.938,0.188,0.191
2015-10-16 12:00:00.575,-0.934,0.195,0.199
2015-10-16 12:00:00.588,-0.934,0.207,0.188
2015-10-16 12:00:00.600,-0.938,0.199,0.188
2015-10-16 12:00:00.613,-0.941,0.199,0.191
2015-10-16 12:00:00.625,-0.934,0.199,0.191
2015-10-16 12:00:00.638,-0.934,0.199,0.195
2015-10-16 12:00:00.650,-0.938,0.199,0.184
2015-10-16 12:00:00.663,-0.934,0.199,0.191
2015-10-16 12:00:00.675,-0.934,0.203,0.188
2015-10-16 12:00:00.688,-0.93,0.203,0.184
2015-10-16 12:00:00.700,-0.93,0.207,0.18
2015-10-16 12:00:00.713,-0.93,0.207,0.18
