HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-16 12:00:08.991,2015-10-16 12:00:08.989,,42,NO
2015-10-16 12:01:12.879,2015-10-16 12:01:12.877,,42,NO
2015-10-16 12:02:53.950,2015-10-16 12:02:53.946,,42,NO
2015-10-16 12:04:08.992,2015-10-16 12:04:08.989,,41,NO
2015-10-16 12:05:08.997,2015-10-16 12:05:08.995,,41,NO
2015-10-16 12:06:10.477,2015-10-16 12:06:10.475,,41,NO
2015-10-16 12:07:24.012,2015-10-16 12:07:24.010,,41,NO
2015-10-16 12:08:24.020,2015-10-16 12:08:24.016,,41,NO
2015-10-16 12:09:25.715,2015-10-16 12:09:25.713,,41,NO
2015-10-16 12:10:10.852,2015-10-16 12:10:10.829,,41,NO
2015-10-16 12:11:09.514,2015-10-16 12:11:09.510,,41,NO
2015-10-16 12:12:09.363,2015-10-16 12:12:09.360,,41,NO
2015-10-16 12:13:29.498,2015-10-16 12:13:29.496,,40,NO
2015-10-16 12:14:24.527,2015-10-16 12:14:24.524,,40,NO
2015-10-16 12:15:09.501,2015-10-16 12:15:09.499,,40,NO
2015-10-16 12:16:53.836,2015-10-16 12:16:53.833,,40,NO
2015-10-16 12:17:39.506,2015-10-16 12:17:39.504,,40,NO
2015-10-16 12:18:29.499,2015-10-16 12:18:29.497,,40,NO
2015-10-16 12:19:09.498,2015-10-16 12:19:09.496,,40,NO
2015-10-16 12:20:23.744,2015-10-16 12:20:23.740,,40,YES
2015-10-16 12:21:09.486,2015-10-16 12:21:09.483,,41,YES
2015-10-16 12:22:09.145,2015-10-16 12:22:09.138,,41,YES
2015-10-16 12:23:09.478,2015-10-16 12:23:09.476,,42,YES
2015-10-16 12:24:09.491,2015-10-16 12:24:09.486,,42,YES
