HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-11-19 16:00:01.699,2015-11-19 16:00:01.697,,52,NO
2015-11-19 16:01:01.707,2015-11-19 16:01:01.696,,52,NO
2015-11-19 16:02:01.714,2015-11-19 16:02:01.704,,52,NO
2015-11-19 16:03:00.713,2015-11-19 16:03:00.706,,52,NO
2015-11-19 16:04:00.720,2015-11-19 16:04:00.718,,52,NO
2015-11-19 16:05:01.706,2015-11-19 16:05:01.704,,52,NO
2015-11-19 16:06:01.696,2015-11-19 16:06:01.694,,52,NO
2015-11-19 16:07:01.735,2015-11-19 16:07:01.733,,52,NO
2015-11-19 16:08:01.719,2015-11-19 16:08:01.717,,52,NO
2015-11-19 16:09:01.718,2015-11-19 16:09:01.702,,52,NO
2015-11-19 16:10:01.772,2015-11-19 16:10:01.770,,52,NO
2015-11-19 16:11:00.817,2015-11-19 16:11:00.803,,52,NO
2015-11-19 16:12:00.836,2015-11-19 16:12:00.823,,52,NO
2015-11-19 16:13:00.730,2015-11-19 16:13:00.728,,52,NO
2015-11-19 16:14:00.911,2015-11-19 16:14:00.900,,52,NO
2015-11-19 16:15:00.797,2015-11-19 16:15:00.785,,52,NO
2015-11-19 16:16:00.896,2015-11-19 16:16:00.887,,52,NO
2015-11-19 16:17:01.785,2015-11-19 16:17:01.783,,52,NO
2015-11-19 16:18:01.723,2015-11-19 16:18:01.721,,52,NO
2015-11-19 16:19:00.723,2015-11-19 16:19:00.722,,52,NO
2015-11-19 16:20:00.750,2015-11-19 16:20:00.745,,52,NO
2015-11-19 16:21:00.757,2015-11-19 16:21:00.748,,52,NO
2015-11-19 16:22:00.777,2015-11-19 16:22:00.768,,52,NO
2015-11-19 16:23:01.874,2015-11-19 16:23:01.873,,52,NO
2015-11-19 16:24:00.954,2015-11-19 16:24:00.939,,52,NO
2015-11-19 16:25:02.437,2015-11-19 16:25:02.435,,51,NO
2015-11-19 16:26:00.727,2015-11-19 16:26:00.725,,51,NO
2015-11-19 16:28:01.759,2015-11-19 16:28:01.752,,51,NO
2015-11-19 16:29:01.771,2015-11-19 16:29:01.768,,51,NO
2015-11-19 16:30:01.722,2015-11-19 16:30:01.710,,51,NO
2015-11-19 16:31:00.718,2015-11-19 16:31:00.717,,51,NO
2015-11-19 16:32:01.733,2015-11-19 16:32:01.722,,51,NO
2015-11-19 16:33:00.738,2015-11-19 16:33:00.737,,51,NO
2015-11-19 16:34:01.669,2015-11-19 16:34:01.668,,51,NO
2015-11-19 16:35:00.695,2015-11-19 16:35:00.694,,51,NO
2015-11-19 16:36:00.809,2015-11-19 16:36:00.785,,51,NO
2015-11-19 16:37:00.638,2015-11-19 16:37:00.637,,51,NO
2015-11-19 16:38:01.706,2015-11-19 16:38:01.682,,51,NO
2015-11-19 16:39:00.757,2015-11-19 16:39:00.755,,51,NO
2015-11-19 16:40:01.728,2015-11-19 16:40:01.719,,51,NO
2015-11-19 16:41:01.719,2015-11-19 16:41:01.706,,51,NO
2015-11-19 16:41:27.115,2015-11-19 16:41:27.113,,51,NO
2015-11-19 16:42:01.569,2015-11-19 16:42:01.559,,51,NO
2015-11-19 16:44:00.990,2015-11-19 16:44:00.980,,50,NO
2015-11-19 16:45:00.988,2015-11-19 16:45:00.987,,50,NO
2015-11-19 16:46:01.002,2015-11-19 16:46:01.001,,50,NO
2015-11-19 16:47:01.025,2015-11-19 16:47:01.024,,50,NO
2015-11-19 16:48:00.949,2015-11-19 16:48:00.947,,50,NO
2015-11-19 16:49:01.586,2015-11-19 16:49:01.584,,50,NO
2015-11-19 16:50:01.553,2015-11-19 16:50:01.545,,50,NO
2015-11-19 16:51:00.440,2015-11-19 16:51:00.430,,50,NO
2015-11-19 16:52:01.589,2015-11-19 16:52:01.564,,50,NO
2015-11-19 16:53:00.596,2015-11-19 16:53:00.594,,50,NO
2015-11-19 16:53:23.364,2015-11-19 16:53:23.362,,50,NO
2015-11-19 16:54:00.601,2015-11-19 16:54:00.593,,50,NO
2015-11-19 16:56:01.656,2015-11-19 16:56:01.653,,50,NO
2015-11-19 16:57:00.662,2015-11-19 16:57:00.661,,50,NO
2015-11-19 16:58:01.651,2015-11-19 16:58:01.633,,50,NO
2015-11-19 16:59:01.644,2015-11-19 16:59:01.641,,50,NO
