HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-11-19 16:00:03.214,2015-11-19 16:00:00.000,2015-11-19 16:00:03.196,Still,l13011419151518,2015-11-19 15:59:49.052,,
2015-11-19 16:00:13.040,2015-11-19 16:00:03.223,2015-11-19 16:00:13.036,Jumping Jacks,l13011419151518,2015-11-19 16:00:03.223,,
2015-11-19 16:00:26.783,2015-11-19 16:00:13.048,2015-11-19 16:00:26.777,Still,l13011419151518,2015-11-19 16:00:13.048,,
2015-11-19 16:00:36.248,2015-11-19 16:00:26.787,2015-11-19 16:00:36.244,Jumping Jacks,l13011419151518,2015-11-19 16:00:26.787,,
2015-11-19 16:00:50.817,2015-11-19 16:00:36.252,2015-11-19 16:00:50.808,Still,l13011419151518,2015-11-19 16:00:36.252,,
2015-11-19 16:01:01.353,2015-11-19 16:00:50.820,2015-11-19 16:01:01.346,Jumping Jacks,l13011419151518,2015-11-19 16:00:50.820,,
2015-11-19 16:01:12.089,2015-11-19 16:01:01.356,2015-11-19 16:01:12.084,Still,l13011419151518,2015-11-19 16:01:01.356,,
2015-11-19 16:04:09.696,2015-11-19 16:02:25.201,2015-11-19 16:04:09.690,Sitting,l13011419151518,2015-11-19 16:02:25.201,,
2015-11-19 16:04:09.707,2015-11-19 16:02:30.641,2015-11-19 16:04:09.690,Writing,l13011419151518,2015-11-19 16:02:30.641,,
2015-11-19 16:04:09.724,2015-11-19 16:02:56.573,2015-11-19 16:04:09.690,Arms On Desk,l13011419151518,2015-11-19 16:02:56.573,,
2015-11-19 16:05:57.285,2015-11-19 16:04:22.336,2015-11-19 16:05:57.276,Reclining,l13011419151518,2015-11-19 16:04:22.336,,
2015-11-19 16:05:57.295,2015-11-19 16:04:27.573,2015-11-19 16:05:57.276,Telling Story,l13011419151518,2015-11-19 16:04:27.573,,
2015-11-19 16:09:08.416,2015-11-19 16:06:10.248,2015-11-19 16:09:08.411,Standing,l13011419151518,2015-11-19 16:06:10.248,,
2015-11-19 16:09:08.424,2015-11-19 16:06:11.341,2015-11-19 16:09:08.411,Telling Story,l13011419151518,2015-11-19 16:06:11.341,,
2015-11-19 16:11:47.981,2015-11-19 16:09:09.263,2015-11-19 16:11:47.966,Standing,l13011419151518,2015-11-19 16:09:09.263,,
2015-11-19 16:11:48.003,2015-11-19 16:09:10.434,2015-11-19 16:11:47.966,Web Browsing,l13011419151518,2015-11-19 16:09:10.434,,
2015-11-19 16:11:48.027,2015-11-19 16:09:55.666,2015-11-19 16:11:47.966,Telling Story,l13011419151518,2015-11-19 16:09:55.666,,
2015-11-19 16:12:43.835,2015-11-19 16:12:31.233,2015-11-19 16:12:43.829,Standing,l13011419151518,2015-11-19 16:12:31.233,,
2015-11-19 16:13:03.430,2015-11-19 16:12:43.842,2015-11-19 16:13:03.421,Walking,l13011419151518,2015-11-19 16:12:43.842,,
2015-11-19 16:13:38.797,2015-11-19 16:12:47.743,2015-11-19 16:13:38.791,Telling Story,l13011419151518,2015-11-19 16:12:47.743,,
2015-11-19 16:13:39.288,2015-11-19 16:13:08.520,2015-11-19 16:13:39.284,Down,l13011419151518,2015-11-19 16:13:08.520,,
2015-11-19 16:13:39.751,2015-11-19 16:13:06.186,2015-11-19 16:13:39.744,Elevator,l13011419151518,2015-11-19 16:13:06.186,,
2015-11-19 16:17:17.539,2015-11-19 16:17:16.598,2015-11-19 16:17:17.531,supported,l13011419151518,2015-11-19 16:17:16.598,,
2015-11-19 16:18:48.042,2015-11-19 16:13:41.245,2015-11-19 16:18:48.037,Walking,l13011419151518,2015-11-19 16:13:41.245,,
2015-11-19 16:18:48.382,2015-11-19 16:14:00.357,2015-11-19 16:18:48.377,Outdoors,l13011419151518,2015-11-19 16:14:00.357,,
2015-11-19 16:18:48.878,2015-11-19 16:13:43.491,2015-11-19 16:18:48.871,Telling Story,l13011419151518,2015-11-19 16:13:43.491,,
2015-11-19 16:20:21.057,2015-11-19 16:18:50.342,2015-11-19 16:20:21.051,Standing,l13011419151518,2015-11-19 16:18:50.342,,
2015-11-19 16:20:21.626,2015-11-19 16:18:55.883,2015-11-19 16:20:21.621,Outdoors,l13011419151518,2015-11-19 16:18:55.883,,
2015-11-19 16:20:56.858,2015-11-19 16:20:22.740,2015-11-19 16:20:56.853,Walking,l13011419151518,2015-11-19 16:20:22.740,,
2015-11-19 16:20:57.844,2015-11-19 16:20:44.583,2015-11-19 16:20:57.838,Outdoors,l13011419151518,2015-11-19 16:20:44.583,,
2015-11-19 16:23:49.117,2015-11-19 16:21:35.104,2015-11-19 16:23:49.113,MBTA,l13011419151518,2015-11-19 16:21:35.104,,
2015-11-19 16:23:49.560,2015-11-19 16:21:38.184,2015-11-19 16:23:49.556,Telling Story,l13011419151518,2015-11-19 16:21:38.184,,
2015-11-19 16:23:50.705,2015-11-19 16:21:04.751,2015-11-19 16:23:50.701,Standing,l13011419151518,2015-11-19 16:21:04.751,,
2015-11-19 16:26:22.242,2015-11-19 16:23:50.708,2015-11-19 16:26:22.236,Walking,l13011419151518,2015-11-19 16:23:50.708,,
2015-11-19 16:26:50.281,2015-11-19 16:26:22.258,2015-11-19 16:26:50.276,Standing,l13011419151518,2015-11-19 16:26:22.258,,
2015-11-19 16:30:17.793,2015-11-19 16:23:54.313,2015-11-19 16:30:17.789,Outdoors,l13011419151518,2015-11-19 16:23:54.313,,
2015-11-19 16:30:18.772,2015-11-19 16:23:55.381,2015-11-19 16:30:18.768,Telling Story,l13011419151518,2015-11-19 16:23:55.381,,
2015-11-19 16:30:43.412,2015-11-19 16:30:20.581,2015-11-19 16:30:43.401,Texting,l13011419151518,2015-11-19 16:30:20.581,,
2015-11-19 16:32:36.160,2015-11-19 16:30:18.377,2015-11-19 16:32:36.155,Outdoors,l13011419151518,2015-11-19 16:30:18.377,,
2015-11-19 16:32:48.797,2015-11-19 16:26:50.285,2015-11-19 16:32:48.793,Walking,l13011419151518,2015-11-19 16:26:50.285,,
2015-11-19 16:33:09.852,2015-11-19 16:32:48.228,2015-11-19 16:33:09.844,Escalator,l13011419151518,2015-11-19 16:32:48.228,,
2015-11-19 16:33:14.072,2015-11-19 16:30:44.191,2015-11-19 16:33:14.067,Phone Talking,l13011419151518,2015-11-19 16:30:44.191,,
2015-11-19 16:33:18.316,2015-11-19 16:33:10.705,2015-11-19 16:33:18.312,Walking,l13011419151518,2015-11-19 16:33:10.705,,
