HEADER_TIME_STAMP,MAGNITUDE,SAMPLE_COUNTS
2015-11-19 17:00:00.122,84,38
2015-11-19 17:00:01.151,245,41
2015-11-19 17:01:07.421,83,40
2015-11-19 17:01:08.438,73,42
2015-11-19 17:01:09.427,92,38
2015-11-19 17:01:10.442,123,39
2015-11-19 17:01:11.434,87,37
2015-11-19 17:01:12.420,124,39
2015-11-19 17:01:13.419,97,40
2015-11-19 17:01:14.420,149,40
2015-11-19 17:01:15.423,106,40
2015-11-19 17:01:16.424,135,40
2015-11-19 17:01:17.430,173,41
2015-11-19 17:01:18.452,111,39
2015-11-19 17:01:19.445,81,40
2015-11-19 17:01:20.427,63,38
2015-11-19 17:01:21.424,67,38
2015-11-19 17:01:22.426,35,39
2015-11-19 17:01:23.418,75,38
2015-11-19 17:01:24.436,96,40
2015-11-19 17:01:25.437,61,40
2015-11-19 17:01:26.420,310,37
2015-11-19 17:02:10.654,151,38
2015-11-19 17:02:11.661,232,40
2015-11-19 17:02:12.670,321,39
2015-11-19 17:02:13.669,206,38
2015-11-19 17:02:14.682,113,41
2015-11-19 17:02:15.669,51,38
2015-11-19 17:02:16.652,55,39
2015-11-19 17:02:17.656,84,42
2015-11-19 17:02:18.678,123,42
2015-11-19 17:02:19.675,58,38
2015-11-19 17:02:20.676,140,39
2015-11-19 17:02:21.674,115,39
2015-11-19 17:02:22.667,108,39
2015-11-19 17:02:23.667,36,39
2015-11-19 17:02:24.663,122,39
2015-11-19 17:02:25.661,78,38
2015-11-19 17:02:26.675,61,40
2015-11-19 17:02:27.681,130,39
2015-11-19 17:02:28.681,136,40
2015-11-19 17:02:29.673,119,40
2015-11-19 17:02:43.080,530,39
2015-11-19 17:02:44.071,394,39
2015-11-19 17:02:45.089,301,43
2015-11-19 17:02:46.119,244,38
2015-11-19 17:02:47.127,196,38
2015-11-19 17:02:48.093,358,39
2015-11-19 17:02:49.069,344,37
2015-11-19 17:02:50.089,392,43
2015-11-19 17:02:51.073,261,37
2015-11-19 17:02:52.094,323,40
2015-11-19 17:02:53.090,206,39
2015-11-19 17:02:54.067,80,40
2015-11-19 17:02:55.064,150,38
2015-11-19 17:02:56.083,91,38
2015-11-19 17:02:57.072,106,41
2015-11-19 17:02:58.098,50,39
2015-11-19 17:02:59.084,125,42
2015-11-19 17:03:00.078,134,42
2015-11-19 17:03:01.081,188,38
2015-11-19 17:03:02.076,51,41
2015-11-19 17:04:23.303,293,38
2015-11-19 17:04:24.324,310,42
2015-11-19 17:04:25.328,263,41
2015-11-19 17:04:26.314,282,39
2015-11-19 17:04:27.311,308,38
2015-11-19 17:04:28.306,299,39
2015-11-19 17:04:29.445,319,40
2015-11-19 17:04:30.328,318,40
2015-11-19 17:04:31.329,309,42
2015-11-19 17:04:32.320,302,41
2015-11-19 17:04:33.320,312,37
2015-11-19 17:04:34.316,313,41
2015-11-19 17:04:35.315,266,37
2015-11-19 17:04:36.374,275,40
2015-11-19 17:04:37.328,309,42
2015-11-19 17:04:38.341,315,39
2015-11-19 17:04:39.329,338,40
2015-11-19 17:04:40.329,305,41
2015-11-19 17:04:41.339,346,41
2015-11-19 17:04:42.321,342,40
2015-11-19 17:04:52.172,285,40
2015-11-19 17:04:53.194,276,41
2015-11-19 17:04:54.190,260,37
2015-11-19 17:04:55.169,258,38
2015-11-19 17:04:56.166,263,41
2015-11-19 17:04:57.172,304,41
2015-11-19 17:04:58.179,354,38
2015-11-19 17:04:59.199,284,40
2015-11-19 17:05:00.161,327,40
2015-11-19 17:05:01.169,349,42
2015-11-19 17:05:02.195,303,41
2015-11-19 17:05:03.183,311,41
2015-11-19 17:05:04.196,320,41
2015-11-19 17:05:05.166,292,39
2015-11-19 17:05:06.173,328,41
2015-11-19 17:05:07.188,318,39
2015-11-19 17:05:08.156,272,38
2015-11-19 17:05:09.161,279,40
2015-11-19 17:05:10.171,278,39
2015-11-19 17:05:11.201,287,39
2015-11-19 17:06:26.230,918,42
2015-11-19 17:06:27.360,1562,38
